RespId     	Model Name               	Context	Temp	Duration	Eval Tokens	QPC	Model Query Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a11_t001.01	 qwen2:0.5b               	 8000	0.07	  12.69	  388	QP1	Summarize the key events...	  10.61	    45	 36.58	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t001_Run1-qwen2 on bt04st/a11_t001.01.4.50410.0246_Response.txt
a11_t002.01	 gemma2:2b                	 8000	0.07	   7.51	   51	KN1	Explain the key differen...	   2.20	    45	 23.23	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.01.4.50410.0247_Response.txt
a11_t002.02	 gemma2:2b                	 8000	0.07	   7.30	  156	KN2	Summarize the major clim...	   7.14	    48	 21.85	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.02.4.50410.0247_Response.txt
a11_t002.03	 gemma2:2b                	 8000	0.07	   4.68	   97	KN3	What are the primary cha...	   4.50	    48	 21.55	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.03.4.50410.0247_Response.txt
a11_t002.04	 gemma2:2b                	 8000	0.07	   6.53	  140	KN4	Compare and contrast dif...	   6.34	    42	 22.07	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.04.4.50410.0247_Response.txt
a11_t002.05	 gemma2:2b                	 8000	0.07	   2.05	   41	KN5	Explain how CRISPR gene ...	   1.89	    43	 21.71	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.05.4.50410.0247_Response.txt
a11_t002.06	 gemma2:2b                	 8000	0.07	   5.56	  117	RE1	Analyze the potential ec...	   5.39	    46	 21.70	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.06.4.50410.0247_Response.txt
a11_t002.07	 gemma2:2b                	 8000	0.07	   6.36	  134	RE2	Consider the philosophic...	   6.19	    52	 21.64	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.07.4.50410.0247_Response.txt
a11_t002.08	 gemma2:2b                	 8000	0.07	   2.02	   40	RE3	What are the tradeoffs b...	   1.84	    46	 21.73	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.08.4.50410.0247_Response.txt
a11_t002.09	 gemma2:2b                	 8000	0.07	   3.41	   71	RE4	Evaluate the arguments f...	   3.25	    42	 21.83	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.09.4.50410.0247_Response.txt
a11_t002.10	 gemma2:2b                	 8000	0.07	   8.48	  179	RE5	Analyze how transportati...	   8.32	    44	 21.51	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.10.4.50410.0247_Response.txt
a11_t002.11	 gemma2:2b                	 8000	0.07	   6.18	  132	CR1	Write a short story abou...	   6.01	    48	 21.97	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.11.4.50410.0247_Response.txt
a11_t002.12	 gemma2:2b                	 8000	0.07	   6.24	  133	CR2	Create a dialogue betwee...	   6.06	    47	 21.94	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.12.4.50410.0247_Response.txt
a11_t002.13	 gemma2:2b                	 8000	0.07	   6.15	  133	CR3	Compose a poem about the...	   6.00	    43	 22.17	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.13.4.50410.0247_Response.txt
a11_t002.14	 gemma2:2b                	 8000	0.07	   2.26	   47	CR4	Design a fictional susta...	   2.10	    46	 22.34	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.14.4.50410.0247_Response.txt
a11_t002.15	 gemma2:2b                	 8000	0.07	   2.58	   53	CR5	Write the opening paragr...	   2.40	    47	 22.10	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.15.4.50410.0247_Response.txt
a11_t002.16	 gemma2:2b                	 8000	0.07	   5.81	  122	CO1	Write a Python function ...	   5.65	    46	 21.58	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.16.4.50410.0247_Response.txt
a11_t002.17	 gemma2:2b                	 8000	0.07	   2.98	   64	CO2	Explain how to set up a ...	   2.81	    46	 22.77	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.17.4.50410.0247_Response.txt
a11_t002.18	 gemma2:2b                	 8000	0.07	   5.88	  128	CO3	Create a SQL query that ...	   5.72	    47	 22.38	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.18.4.50410.0247_Response.txt
a11_t002.19	 gemma2:2b                	 8000	0.07	   3.76	   80	CO4	Write pseudocode for an ...	   3.58	    46	 22.32	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.19.4.50410.0247_Response.txt
a11_t002.20	 gemma2:2b                	 8000	0.07	   3.61	   76	CO5	Describe the architectur...	   3.44	    48	 22.12	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.20.4.50410.0247_Response.txt
a11_t002.21	 gemma2:2b                	 8000	0.07	   2.41	   49	IN1	Create a step-by-step gu...	   2.24	    47	 21.88	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.21.4.50410.0247_Response.txt
a11_t002.22	 gemma2:2b                	 8000	0.07	   2.52	   52	IN2	Provide a detailed recip...	   2.37	    47	 21.97	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.22.4.50410.0247_Response.txt
a11_t002.23	 gemma2:2b                	 8000	0.07	   9.89	  213	IN3	Outline a 30-day fitness...	   9.74	    49	 21.88	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.23.4.50410.0247_Response.txt
a11_t002.24	 gemma2:2b                	 8000	0.07	   3.04	   65	IN4	Create a troubleshooting...	   2.87	    42	 22.65	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.24.4.50410.0247_Response.txt
a11_t002.25	 gemma2:2b                	 8000	0.07	   6.11	  130	IN5	Write instructions for s...	   5.93	    48	 21.91	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t002_Run25-gemma2 on bt04st/a11_t002.25.4.50410.0247_Response.txt
a11_t003.01	 llama3.2                 	16000	0.07	   8.91	   72	QP1	Summarize the key events...	   3.25	    62	 22.17	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t003_Run2-llama3.2 on bt04st/a11_t003.01.4.50410.0253_Response.txt
a11_t003.01	 llama3.2                 	16000	0.07	   4.45	   77	QP1	Summarize the key events...	   1.78	    62	 43.28	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t003_Run2-llama3.2 on bt04st/a11_t003.01.4.50410.0319_Response.txt
a11_t003.02	 llama3.2                 	16000	0.07	   3.20	   85	QP1	Summarize the key events...	   3.08	    62	 27.57	roman empire		0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:///E:/Repos/Robin/AIDocs_/test1-robin/./docs/a11_search-app/25.04.Apr/_t003_Run2-llama3.2 on bt04st/a11_t003.02.4.50410.0319_Response.txt
