RespId     	Model Name               	Context	Temp	Duration	Date Time	Eval Tokens	UPC	Model User Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	SysPmtCd	Model SYstem Prompt	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   6.90	  2025-04-14 11:50	  386	KP0	Summarize the key events...	   5.12	    30	 75.39	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1150_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   4.08	  2025-04-14 11:51	  295	KP0	Summarize the key events...	   3.94	    30	 74.82	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1151_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   9.46	  2025-04-14 15:23	  578	KP0	Summarize the key events...	   7.98	    30	 72.43	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1523_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.49	  2025-04-14 15:26	   26	KP0	Summarize the key events...	   0.27	    30	 95.72	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1526_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	  12.72	  2025-04-14 15:26	  868	KP0	Summarize the key events...	  12.51	    30	 69.38	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1526_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.17	  2025-04-14 15:27	   11	KP0	Summarize the key events...	   0.11	    30	 98.91	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1527_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.72	  2025-04-14 15:29	   37	KP0	Summarize the key events...	   0.42	    30	 88.82	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1529_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.22	  2025-04-14 15:29	   14	KP0	Summarize the key events...	   0.16	    30	 88.52	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1529_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.55	  2025-04-14 15:31	   27	KP0	Summarize the key events...	   0.28	    30	 96.84	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1531_Response.txt
a11_t041.01	 qwen2:0.5b               	32768	 0.7	   0.46	  2025-04-14 15:31	   32	KP0	Summarize the key events...	   0.42	    30	 76.27	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M4	16	Sequoia v15.3.2	Apple Mac Studio	bt04st-os15_Bruces-Mac-studio (xx.xxx.xxx.xxx)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on bt04st/a11_t041.01.4.50414.1531_Response.txt
