RespId     	Model Name               	Context	Temp	Duration	Date Time	Eval Tokens	UPC	Model User Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	SysPmtCd	Model SYstem Prompt	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   8.76	  2025-04-15 08:20	  500	KP0	Summarize the key events...	   6.88	    30	 72.66	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0820_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   7.99	  2025-04-15 08:20	  548	KP0	Summarize the key events...	   7.66	    30	 71.56	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0820_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	  10.60	  2025-04-15 08:21	  724	KP0	Summarize the key events...	  10.35	    30	 69.98	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0821_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	  11.59	  2025-04-15 08:22	  775	KP0	Summarize the key events...	  11.19	    30	 69.29	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0822_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   5.43	  2025-04-15 08:23	  369	KP0	Summarize the key events...	   5.12	    30	 72.10	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0823_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   0.57	  2025-04-15 08:24	   22	KP0	Summarize the key events...	   0.23	    30	 96.90	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0824_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   6.40	  2025-04-15 08:24	  441	KP0	Summarize the key events...	   6.05	    30	 72.85	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0824_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   0.98	  2025-04-15 08:25	   55	KP0	Summarize the key events...	   0.64	    30	 85.30	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0825_Response.txt
a11_t041.01	 qwen2:0.5b               	16000	 0.3	   4.21	  2025-04-15 08:25	  286	KP0	Summarize the key events...	   3.90	    30	 73.30	GKN1-SIMP	Please use the informati...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_1,1-test on rm231d/a11_t041.01.4.50415.0825_Response.txt
a11_t041.01	 qwen2:0.5b               	 8000	 0.3	  11.31	  2025-04-15 09:15	  711	KP0	Summarize the key events...	  10.12	    59	 70.23	GKN1-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t041.01.4.50415.0915_Response.txt
a11_t042.01	 qwen2:0.5b               	16000	 0.6	   7.94	  2025-04-15 09:15	  468	KP0	Summarize the key events...	   6.50	    59	 72.03	GKN2-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t042.01.4.50415.0915_Response.txt
a11_t043.01	 qwen2:0.5b               	32000	 0.9	   9.19	  2025-04-15 09:15	  602	KP0	Summarize the key events...	   8.29	    59	 72.58	GKN3-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t043.01.4.50415.0915_Response.txt
a11_t044.01	 qwen2:0.5b               	 6000	 0.3	   9.86	  2025-04-15 09:15	  635	KP0	Summarize the key events...	   8.96	    75	 70.86	GKN4-DETA	You are a knowledgeable ...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t044.01.4.50415.0915_Response.txt
a11_t041.01	 qwen2:0.5b               	 8000	 0.3	  13.30	  2025-04-15 09:16	  864	KP0	Summarize the key events...	  12.41	    59	 69.65	GKN1-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t041.01.4.50415.0916_Response.txt
a11_t042.01	 qwen2:0.5b               	16000	 0.6	  14.31	  2025-04-15 09:16	  877	KP0	Summarize the key events...	  12.93	    59	 67.80	GKN2-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t042.01.4.50415.0916_Response.txt
a11_t043.01	 qwen2:0.5b               	32000	 0.9	   8.30	  2025-04-15 09:17	  539	KP0	Summarize the key events...	   7.40	    59	 72.86	GKN3-SIMP	You are a helpful and in...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t043.01.4.50415.0916_Response.txt
a11_t044.01	 qwen2:0.5b               	 6000	 0.3	   1.50	  2025-04-15 09:17	   50	KP0	Summarize the key events...	   0.60	    75	 83.66	GKN4-DETA	You are a knowledgeable ...			0 Sources, 0 bytes	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_test1/./docs/a11_search-app/25.04.Apr/_t041_qwen2;0.5b_4,1-test on rm231d/a11_t044.01.4.50415.0916_Response.txt
