RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	   Duration	 N1	 N2	 N3	Tot	      Date Time   	UPC	Model User Prompt	Eval Duration	Eval Tokens	PromptTokens	SysPmtCd	Model System Prompt    	Web Search Prompt          	Web Search URL      	Doc-File Name          	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	282.45	   3.03	 10	  9	  9	 57	  2025-06-01 17:01	AA0	  293	  1.04	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50601.1701_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	203.56	   4.47	  0	  0	  0	  0	  2025-06-02 07:17	AA0	   49	  0.24	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0717_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	173.76	   1.04	  0	  0	  0	  0	  2025-06-02 07:18	AA0	  169	  0.97	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0718_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	181.65	   1.05	  7	  8	  7	 44	  2025-06-02 07:18	AA0	  177	  0.97	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0718_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	258.77	   2.41	  8	  9	  7	 49	  2025-06-02 07:26	AA0	  237	  0.92	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0726_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:27	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0727_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:29	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0729_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:32	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0732_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:33	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0733_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:34	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0734_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:38	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0738_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 07:39	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0739_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	260.73	   2.69	  9	  8	  8	 51	  2025-06-02 07:42	AA0	  211	  0.81	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0742_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	204.03	   1.41	  9	  9	  8	 53	  2025-06-02 07:45	AA0	  269	  1.32	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0745_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	257.32	   1.83	  7	  6	  6	 39	  2025-06-02 07:47	AA0	  448	  1.74	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0747_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	114.46	   0.48	  8	  9	  7	 49	  2025-06-02 07:48	AA0	   45	  0.39	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0748_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	277.70	   2.89	  0	  0	  0	  0	  2025-06-02 08:27	AA0	  195	  0.70	all-usr: What is so spec...	   40	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0827_Response.txt
s11_t011.01  	rm288p	qwen2:0.5b                 	   4000	  0.3	   NaN	    NaN	  0	  0	  0	  0	  2025-06-02 08:30	AA0	  NaN	   NaN	all-usr: What is so spec...	  NaN	GKN0-INPT	all-sys: Summarize the informati...	roman empire               	                       	0 Sources, 0 bytes     	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm288p-Prod1 (127.0.0.1)             	./docs/a11_search-mod-app/2025.06.Jun_s11-log-files/s11_t011_llama3.2;3b_1,1-test on rm288p/s11_t011.01.4.50602.0830_Response.txt
