RespId     	 Model                    	Context	Temp	Duration	Eval Tokens	PCD	Model Query Prompt	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	Web Search URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a12_t010.06	 qwen2:0.5b               	 8000	0.07	   5.04	   33	KN1	What are the city's rest...	   0.95	  4002	 34.65	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t010_Test on rm228p/a12_t010.06.4.50405.1540_Response.txt
a12_t010.07	 qwen2:0.5b               	 8000	0.07	   2.73	   81	KN2	What are the city's rest...	   2.48	  4002	 32.69	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t010_Test on rm228p/a12_t010.07.4.50405.1540_Response.txt
a12_t011.01	 qwen2:0.5b               	 8000	0.07	  10.04	  208	KN3	What are the city's rest...	   6.77	  4002	 30.71	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.01.4.50405.1553_Response.txt
a12_t011.02	 qwen2:0.5b               	 8000	0.07	   7.05	  212	KN4	What are the city's rest...	   6.76	  4002	 31.35	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.02.4.50405.1553_Response.txt
a12_t011.03	 gemma2:2b                	 8000	0.07	  18.04	  257	KN5	What are the city's rest...	  10.71	  4002	 24.00	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.03.4.50405.1554_Response.txt
a12_t011.04	 gemma2:2b                	 8000	0.07	  13.90	  322	RE1	What are the city's rest...	  13.57	  4002	 23.74	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.04.4.50405.1554_Response.txt
a12_t011.05	 llama3                   	16000	0.07	  19.90	  246	RE2	What are the city's rest...	   9.78	  8392	 25.16	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.05.4.50405.1554_Response.txt
a12_t011.06	 llama3                   	16000	0.07	   9.09	  221	RE3	What are the city's rest...	   8.86	  8392	 24.94	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.06.4.50405.1554_Response.txt
a12_t011.07	 llama3.2                 	 8000	0.07	  23.64	  441	RE4	What are the city's rest...	  15.94	  4002	 27.67	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.07.4.50405.1555_Response.txt
a12_t011.08	 llama3.2                 	 8000	0.07	  15.63	  451	RE5	What are the city's rest...	  15.39	  4002	 29.31	Lexington Va	5 Sources, 31723 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Intel 7-13700HX, 2.10 GHz, NVidia RTX360	32	Windows 11	HP Omen	rm228p-ws11_Robins-Laptop (10.0.0.126)	file:///E:/Repos/Robin/AIDocs_/dev01-robin/./docs/a12_websearch-app/25.04.Apr/_t011_Test 2 on rm228p/a12_t011.08.4.50405.1555_Response.txt
