RespId	Model	Context	Temperature	Duration	Eval Tokens	Query	Eval Duration	Prompt Eval Tokens	Tokens Per Second	Web Search	Docs	URL	CPU_GPU	RAM	OS	Computer	Server	Response File
a12_t006.10	 qwen2:0.5b              	 8000	0.07	  15.36	  140	What are the city's restaurants?	   5.08	  6922	 27.54	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.10.4.50404.1103_Response.txt
a12_t006.11	 qwen2:0.5b              	 8000	0.07	  13.59	  355	What are the city's restaurants?	  13.05	  6920	 27.20	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t006.11.4.50404.1103_Response.txt
a12_t007.01	 qwen2:0.5b              	 8000	0.07	  14.39	  121	What are the city's restaurants?	   4.43	  6918	 27.34	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.01.4.50404.1252_Response.txt
a12_t007.02	 qwen2:0.5b              	 8000	0.07	  38.84	  765	What are the city's restaurants?	  28.81	  6920	 26.55	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.02.4.50404.1300_Response.txt
a12_t007.03	 qwen2:0.5b              	 8000	0.07	  13.68	  347	What are the city's restaurants?	  12.88	  6914	 26.93	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.03.4.50404.1314_Response.txt
a12_t007.04	 qwen2:0.5b              	 8000	0.07	  17.96	  466	What are the city's restaurants?	  17.39	  6914	 26.80	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.04.4.50404.1314_Response.txt
a12_t007.05	 qwen2:0.5b              	 8000	0.07	   4.21	   96	What are the city's restaurants?	   3.50	  6916	 27.41	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.05.4.50404.1315_Response.txt
a12_t007.06	 qwen2:0.5b              	 8000	0.07	  13.48	  348	What are the city's restaurants?	  12.89	  6920	 27.00	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t007.06.4.50404.1315_Response.txt
a12_t008.01	 qwen2:0.5b              	 8000	0.07	  22.96	  350	What are the city's restaurants?	  12.96	  6920	 27.00	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.01.4.50404.1321_Response.txt
a12_t008.02	 qwen2:0.5b              	 8000	0.07	  17.99	  468	What are the city's restaurants?	  17.42	  6918	 26.86	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.02.4.50404.1321_Response.txt
a12_t008.03	 gemma2:2b               	 8000	0.07	  48.11	  327	What are the city's restaurants?	  20.70	  7007	 15.80	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.03.4.50404.1322_Response.txt
a12_t008.04	 gemma2:2b               	 8000	0.07	  28.74	  432	What are the city's restaurants?	  27.45	  7005	 15.74	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.04.4.50404.1322_Response.txt
a12_t008.05	 llama3                  	 8000	0.07	1387.52	  126	What are the city's restaurants?	1189.22	  6092	  0.11	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.05.4.50404.1323_Response.txt
a12_t008.06	 llama3                  	 8000	0.07	2870.16	  283	What are the city's restaurants?	2853.35	  6096	  0.10	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.06.4.50404.1323_Response.txt
a12_t008.07	 qwen2:0.5b              	 8000	0.07	   4.44	  106	What are the city's restaurants?	   3.85	  6920	 27.51	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.07.4.50404.1511_Response.txt
a12_t008.08	 qwen2:0.5b              	 8000	0.07	  16.23	  197	What are the city's restaurants?	   7.24	  6922	 27.22	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.08.4.50404.1521_Response.txt
a12_t008.09	 qwen2:0.5b              	 8000	0.07	  21.51	  561	What are the city's restaurants?	  20.98	  6920	 26.74	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.09.4.50404.1521_Response.txt
a12_t008.10	 gemma2:2b               	 8000	0.07	  49.98	  361	What are the city's restaurants?	  22.37	  7009	 16.14	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.10.4.50404.1522_Response.txt
a12_t008.11	 gemma2:2b               	 8000	0.07	  23.60	  353	What are the city's restaurants?	  22.47	  7001	 15.71	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.11.4.50404.1522_Response.txt
a12_t008.12	 qwen2:0.5b              	 8000	0.07	  19.91	  519	What are the city's restaurants?	  19.36	  6922	 26.80	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.12.4.50404.1528_Response.txt
a12_t008.13	 qwen2:0.5b              	 8000	0.07	  13.23	  343	What are the city's restaurants?	  12.66	  6922	 27.10	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.13.4.50404.1528_Response.txt
a12_t008.14	 gemma2:2b               	 8000	0.07	  53.66	  431	What are the city's restaurants?	  26.44	  7005	 16.30	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.14.4.50404.1528_Response.txt
a12_t008.15	 gemma2:2b               	 8000	0.07	  33.35	  522	What are the city's restaurants?	  32.12	  7005	 16.25	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.15.4.50404.1528_Response.txt
a12_t008.16	 qwen2:0.5b              	 8000	0.07	  55.14	  793	What are the city's restaurants?	  29.86	  6920	 26.56	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.16.4.50404.1530_Response.txt
a12_t008.17	 qwen2:0.5b              	 8000	0.07	   4.60	  112	What are the city's restaurants?	   4.04	  6918	 27.70	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.17.4.50404.1530_Response.txt
a12_t008.18	 gemma2:2b               	 8000	0.07	  28.11	  413	What are the city's restaurants?	  25.23	  7009	 16.37	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.18.4.50404.1531_Response.txt
a12_t008.19	 gemma2:2b               	 8000	0.07	  31.05	  487	What are the city's restaurants?	  29.83	  7009	 16.33	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.19.4.50404.1531_Response.txt
a12_t008.20	 qwen2:0.5b              	 8000	0.07	   6.25	  143	What are the city's restaurants?	   5.19	  6922	 27.56	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.20.4.50404.1535_Response.txt
a12_t008.21	 qwen2:0.5b              	 8000	0.07	  87.27	 2227	What are the city's restaurants?	  86.74	  6920	 25.67	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.21.4.50404.1535_Response.txt
a12_t008.22	 gemma2:2b               	 8000	0.07	  32.52	  486	What are the city's restaurants?	  29.68	  7009	 16.38	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.22.4.50404.1537_Response.txt
a12_t008.23	 qwen2:0.5b              	 8000	0.07	  27.46	  503	What are the city's restaurants?	  18.56	  6920	 27.11	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.23.4.50404.1550_Response.txt
a12_t008.24	 qwen2:0.5b              	 8000	0.07	  14.38	  376	What are the city's restaurants?	  13.87	  6920	 27.12	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.24.4.50404.1550_Response.txt
a12_t008.25	 qwen2:0.5b              	 8000	0.07	  48.24	 1001	What are the city's restaurants?	  37.90	  6922	 26.41	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.25.4.50404.1630_Response.txt
a12_t008.26	 qwen2:0.5b              	 8000	0.07	  20.79	  547	What are the city's restaurants?	  20.12	  6920	 27.19	Lexington Va	5 Sources, 20815 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.26.4.50404.1635_Response.txt
a12_t008.27	 qwen2:0.5b              	 8000	0.07	  21.08	  551	What are the city's restaurants?	  20.43	  6920	 26.97	Lexington Va	5 Sources, 20811 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.27.4.50404.1636_Response.txt
a12_t008.28	 qwen2:0.5b              	 8000	0.07	   7.35	  187	What are the city's restaurants?	   6.80	  6916	 27.52	Lexington Va	5 Sources, 20811 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.28.4.50404.1636_Response.txt
a12_t008.29	 qwen2:0.5b              	 8000	0.07	  14.28	  369	What are the city's restaurants?	  13.58	  6914	 27.17	Lexington Va	5 Sources, 20817 bytes	https://en.wikipedia.org/wiki/Lexington%2C_Virginia	Apple M1	8	Sonoma v15.2	Apple Mac Mini (2022)	rm231d-os15_Robins-Mac-mini (10.0.0.37)	file:////Users/Shared/Repos/AIDocs_dev01/./docs/a12_websearch-app/a12_t008.29.4.50404.1641_Response.txt
