RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	  Duration	 Sc	 or	 es	      Date Time   	UPC	Model User Prompt	 Eval Duration	Eval Tokens	Prompt Eval Tokens	SysPmtCd	Model System Prompt	  Web Search Prompt    	Doc-File Name          	Web Search URL         	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s14_t001.49  	rm228p	gemma2:2b                  	   4000	  0.7	100.06	   7.20	  0	  0	  0	  2025-05-12 11:34	KP0	  298	What is this document ab...	  2.98	 1267	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5910 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.49.4.50512.1134_Response.txt
s14_t001.50  	rm228p	gemma2:2b                  	   4000	  0.7	100.85	   2.88	  0	  0	  0	  2025-05-12 11:36	KP0	  269	What is this document ab...	  2.67	 1361	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 6287 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.50.4.50512.1136_Response.txt
s14_t001.51  	rm228p	gemma2:2b                  	   4000	  0.7	 98.90	   1.47	  0	  0	  0	  2025-05-12 11:38	KP0	  133	What is this document ab...	  1.34	  810	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3577 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.51.4.50512.1138_Response.txt
s14_t001.52  	rm228p	gemma2:2b                  	   4000	  0.7	101.34	   6.38	  0	  0	  0	  2025-05-12 11:47	KP0	  262	What is this document ab...	  2.59	 1191	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5699 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.52.4.50512.1147_Response.txt
s14_t001.53  	rm228p	gemma2:2b                  	   4000	  0.7	106.19	   2.90	  0	  0	  0	  2025-05-12 11:47	KP0	  280	What is this document ab...	  2.64	 1220	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5622 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.53.4.50512.1147_Response.txt
s14_t001.54  	rm228p	gemma2:2b                  	   4000	  0.7	102.36	   2.25	  0	  0	  0	  2025-05-12 11:47	KP0	  210	What is this document ab...	  2.05	 1138	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5605 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.54.4.50512.1147_Response.txt
s14_t001.55  	rm228p	gemma2:2b                  	   4000	  0.7	102.59	   2.05	  0	  0	  0	  2025-05-12 11:47	KP0	  191	What is this document ab...	  1.86	 1235	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5912 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.55.4.50512.1147_Response.txt
s14_t001.56  	rm228p	gemma2:2b                  	   4000	  0.7	102.73	   2.39	  0	  0	  0	  2025-05-12 11:47	KP0	  226	What is this document ab...	  2.20	 1241	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 5845 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.56.4.50512.1147_Response.txt
s14_t001.57  	rm228p	gemma2:2b                  	   4000	  0.7	100.50	   2.84	  0	  0	  0	  2025-05-12 11:47	KP0	  265	What is this document ab...	  2.64	 1401	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 6786 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.57.4.50512.1147_Response.txt
s14_t001.58  	rm228p	qwen2:0.5b                 	   4000	  0.7	223.94	   2.78	  0	  0	  0	  2025-05-12 21:18	KP0	   50	What is this document ab...	  0.22	  774	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3577 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.58.4.50512.2118_Response.txt
s14_t001.59  	rm228p	qwen2:0.5b                 	   4000	  0.7	270.19	   1.06	  0	  0	  0	  2025-05-12 21:20	KP0	  260	What is this document ab...	  0.96	  783	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3611 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.59.4.50512.2120_Response.txt
s14_t001.60  	rm228p	qwen2:0.5b                 	   4000	  0.7	259.86	   4.14	  0	  0	  0	  2025-05-12 21:21	KP0	 1053	What is this document ab...	  4.05	  776	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3594 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.60.4.50512.2121_Response.txt
s14_t001.61  	rm228p	qwen2:0.5b                 	   4000	  0.7	249.88	   2.71	  0	  0	  0	  2025-05-12 21:29	KP0	   58	What is this document ab...	  0.23	  805	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3726 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.61.4.50512.2129_Response.txt
s14_t001.62  	rm228p	qwen2:0.5b                 	   4000	  0.7	217.35	   1.18	  0	  0	  0	  2025-05-12 21:32	KP0	  235	What is this document ab...	  1.08	  795	GKN0-SIMP	Summarize the information and pr...	                           	1 Source, 3684 bytes   	s14_scoring-prompt.txt 	i7-13700HX, RTX 4080   	 32	Win11 Pro	HP OMEN 1	rm228d-w10p_Windows-Prod1 (127.0.0.1)	./docs/a14_grading-app/25.05.May/a14_t001_gemma2;2b_1,1-test on rm228p/s14_t001.62.4.50512.2132_Response.txt
