RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	   Duration	 N1	 N2	 N3	Tot	        Date Time   	UPC	Model User Prompt	Eval Duration	Eval Tokens	PromptTokens	SysPmtCd	Model System Prompt    	Web Search Prompt          	Web Search URL         	Doc-File Name          	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s14_t011.55  	bt04st	qwen2:1.5b                 	   8000	  0.7	166.42	   4.30	  0	  0	  0	  0	  2025-05-31 12:47	TXT	  209	Summarize the key topics...	  1.26	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.55.4.50531.1244_Response.txt
s14_t011.56  	bt04st	qwen2:1.5b                 	   8000	  0.7	140.68	   1.53	  0	  0	  0	  0	  2025-05-31 12:49	TXT	  204	Summarize the key topics...	  1.45	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.56.4.50531.1249_Response.txt
s14_t011.57  	bt04st	qwen2:1.5b                 	   8000	  0.7	166.22	   3.75	  0	  0	  0	  0	  2025-05-31 12:54	TXT	  245	Summarize the key topics...	  1.47	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.57.4.50531.1254_Response.txt
s14_t011.58  	bt04st	qwen2:1.5b                 	   8000	  0.7	165.54	   3.38	  0	  0	  0	  0	  2025-05-31 13:12	TXT	  165	Summarize the key topics...	  1.00	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.58.4.50531.1312_Response.txt
s14_t011.59  	bt04st	qwen2:1.5b                 	   8000	  0.7	154.88	   0.54	  0	  0	  0	  0	  2025-05-31 13:13	TXT	   69	Summarize the key topics...	  0.45	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.59.4.50531.1313_Response.txt
s14_t011.60  	bt04st	qwen2:1.5b                 	   8000	  0.7	155.48	   3.90	  0	  0	  0	  0	  2025-05-31 13:15	TXT	  593	Summarize the key topics...	  3.81	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.60.4.50531.1315_Response.txt
s14_t011.61  	bt04st	qwen2:1.5b                 	   8000	  0.7	163.79	   2.82	  0	  0	  0	  0	  2025-05-31 13:20	TXT	  107	Summarize the key topics...	  0.65	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.61.4.50531.1320_Response.txt
s14_t011.62  	bt04st	qwen2:1.5b                 	   8000	  0.7	164.28	   1.14	  0	  0	  0	  0	  2025-05-31 13:21	TXT	  173	Summarize the key topics...	  1.05	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.62.4.50531.1321_Response.txt
s14_t011.63  	bt04st	qwen2:1.5b                 	   8000	  0.7	173.39	   3.32	  0	  0	  0	  0	  2025-05-31 13:36	TXT	  141	Summarize the key topics...	  0.81	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.63.4.50531.1336_Response.txt
s14_t011.64  	bt04st	qwen2:1.5b                 	   8000	  0.7	170.87	   3.49	  0	  0	  0	  0	  2025-05-31 13:50	TXT	  117	Summarize the key topics...	  0.68	  940	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	${aPC_CODE}-${ aServer.replace( /^.+-/, '' ) }	./docs/a14_grading-app/2025.05.May/a14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.64.4.50531.1350_Response.txt
