RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	   Duration	 N1	 N2	 N3	Tot	        Date Time   	UPC	Model User Prompt	Eval Duration	Eval Tokens	PromptTokens	SysPmtCd	Model System Prompt    	Web Search Prompt          	Web Search URL         	Doc-File Name          	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s14_t011.97  	bt04st	qwen2:0.5b                 	   8000	  0.7	221.28	   2.66	  0	  0	  0	  0	  2025-05-31 17:24	AA0	  140	all-usr: What is so spec...	  0.63	  991	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.97.4.50531.1724_Response.txt
s14_t011.98  	bt04st	qwen2:1.5b                 	   8000	  0.7	159.56	   3.82	  0	  0	  0	  0	  2025-05-31 17:42	TXT	  174	Summarize the key topics...	  1.09	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.98.4.50531.1742_Response.txt
s14_t011.99  	bt04st	qwen2:1.5b                 	   8000	  0.7	153.86	   1.15	  0	  0	  0	  0	  2025-05-31 17:42	TXT	  164	Summarize the key topics...	  1.07	  770	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 3487 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.99.4.50531.1742_Response.txt
s14_t011.100 	bt04st	qwen2:1.5b                 	   8000	  0.7	155.79	   1.24	  0	  0	  0	  0	  2025-05-31 17:44	TXT	  180	Summarize the key topics...	  1.16	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.100.4.50531.1744_Response.txt
s14_t011.101 	bt04st	qwen2:1.5b                 	   8000	  0.7	129.95	   1.42	  0	  0	  0	  0	  2025-05-31 17:48	TXT	  177	Summarize the key topics...	  1.36	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.101.4.50531.1748_Response.txt
s14_t011.102 	bt04st	qwen2:1.5b                 	   8000	  0.7	126.69	   1.20	  0	  0	  0	  0	  2025-05-31 17:48	TXT	  137	Summarize the key topics...	  1.08	  770	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 3487 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.102.4.50531.1748_Response.txt
s14_t011.103 	bt04st	qwen2:1.5b                 	   8000	  0.7	141.41	   1.54	  0	  0	  0	  0	  2025-05-31 17:50	TXT	  195	Summarize the key topics...	  1.38	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.103.4.50531.1749_Response.txt
s14_t011.104 	bt04st	qwen2:1.5b                 	   8000	  0.7	160.87	   1.26	  0	  0	  0	  0	  2025-05-31 17:51	TXT	  195	Summarize the key topics...	  1.21	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.104.4.50531.1750_Response.txt
s14_t011.105 	bt04st	qwen2:1.5b                 	   8000	  0.7	138.56	   2.47	  0	  0	  0	  0	  2025-05-31 17:54	TXT	  334	Summarize the key topics...	  2.41	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.105.4.50531.1752_Response.txt
s14_t011.106 	bt04st	qwen2:1.5b                 	   8000	  0.7	160.52	   3.19	  0	  0	  0	  0	  2025-05-31 18:00	TXT	  211	Summarize the key topics...	  1.31	  994	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 4561 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.05.May_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.106.4.50531.1759_Response.txt
