RespId       	HW CD 	Model Name                 	Context	 Temp	TPS	   Duration	 N1	 N2	 N3	Tot	      Date Time   	UPC	Model User Prompt	Eval Duration	Eval Tokens	PromptTokens	SysPmtCd	Model System Prompt    	Web Search Prompt          	Web Search URL     	Doc-File Name          	CPU_GPU                	RAM	OS       	Computer 	Server                               	Response File	
s14_t011.129 	bt04st	qwen2:1.5b                 	   8000	  0.7	156.61	   4.90	  0	  0	  0	  0	  2025-06-01 10:12	TXT	  227	Summarize the key topics...	  1.45	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.129.4.50601.1011_Response.txt
s14_t011.130 	bt04st	qwen2:1.5b                 	   8000	  0.7	154.13	   1.19	  0	  0	  0	  0	  2025-06-01 10:14	TXT	  173	Summarize the key topics...	  1.12	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.130.4.50601.1014_Response.txt
s14_t011.131 	bt04st	qwen2:1.5b                 	   8000	  0.7	157.63	   3.33	  0	  0	  0	  0	  2025-06-01 10:25	TXT	  138	Summarize the key topics...	  0.88	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.131.4.50601.1025_Response.txt
s14_t011.132 	bt04st	qwen2:1.5b                 	   8000	  0.7	159.91	   3.58	  0	  0	  0	  0	  2025-06-01 10:34	TXT	  190	Summarize the key topics...	  1.19	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.132.4.50601.1033_Response.txt
s14_t011.133 	bt04st	qwen2:1.5b                 	   8000	  0.7	158.38	   2.96	  0	  0	  0	  0	  2025-06-01 10:42	TXT	  134	Summarize the key topics...	  0.85	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.133.4.50601.1042_Response.txt
s14_t011.134 	bt04st	qwen2:1.5b                 	   8000	  0.7	136.32	   1.74	  0	  0	  0	  0	  2025-06-01 10:46	TXT	  229	Summarize the key topics...	  1.68	 1238	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 5872 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.134.4.50601.1046_Response.txt
s14_t011.135 	bt04st	qwen2:0.5b                 	   8000	  0.7	225.28	   2.90	  0	  0	  0	  0	  2025-06-01 10:56	AA0	  181	all-usr: What is so spec...	  0.80	 1017	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 4812 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.135.4.50601.1056_Response.txt
s14_t011.136 	bt04st	qwen2:0.5b                 	   8000	  0.7	262.05	   8.35	  0	  0	  0	  0	  2025-06-01 11:31	AA0	 1649	  6.29	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.136.4.50601.1131_Response.txt
s14_t011.137 	bt04st	qwen2:0.5b                 	   8000	  0.7	191.98	   1.05	  0	  0	  0	  0	  2025-06-01 11:35	AA0	  188	  0.98	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.137.4.50601.1135_Response.txt
s14_t011.138 	bt04st	qwen2:1.5b                 	   8000	  0.7	166.98	   3.06	  0	  0	  0	  0	  2025-06-01 11:41	TXT	  200	  1.20	Summarize the key topics...	  753	GKN0-TXTP	Summarize the information and pr...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.138.4.50601.1140_Response.txt
s14_t011.139 	bt04st	qwen2:0.5b                 	   8000	  0.7	259.67	   4.57	  0	  0	  0	  0	  2025-06-01 12:26	AA0	  485	  1.87	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.139.4.50601.1226_Response.txt
s14_t011.140 	bt04st	qwen2:0.5b                 	   8000	  0.7	256.67	   2.65	  0	  0	  0	  0	  2025-06-01 12:54	AA0	  191	  0.74	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.140.4.50601.1254_Response.txt
s14_t011.141 	bt04st	qwen2:0.5b                 	   8000	  0.7	245.64	   5.67	  0	  0	  0	  0	  2025-06-01 13:12	AA0	  444	  1.81	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.141.4.50601.1312_Response.txt
s14_t011.142 	bt04st	qwen2:0.5b                 	   8000	  0.7	237.75	   3.24	  0	  0	  0	  0	  2025-06-01 13:17	AA0	  254	  1.07	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.142.4.50601.1317_Response.txt
s14_t011.143 	bt04st	qwen2:0.5b                 	   8000	  0.7	173.25	   1.33	  0	  0	  0	  0	  2025-06-01 13:21	AA0	  218	  1.26	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.143.4.50601.1321_Response.txt
s14_t011.144 	bt04st	qwen2:0.5b                 	   8000	  0.7	199.34	   1.52	  0	  0	  0	  0	  2025-06-01 13:22	AA0	  294	  1.47	all-usr: What is so spec...	  750	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.144.4.50601.1322_Response.txt
s14_t011.145 	bt04st	gemma2:2b                  	   8000	  0.7	109.26	   8.17	  0	  0	  0	  0	  2025-06-01 14:28	AA0	  197	  1.80	all-usr: What is so spec...	  788	GKN0-INPT	all-sys: Summarize the informati...	                           	s14_scoring-prompt.txt 	1 Source, 3418 bytes   	Apple M4               	 16	Sequoia v	Apple Mac	bt04st-studio (xx.xxx.xxx.xxx)       	./docs/a14_grading-app/2025.06.Jun_s14-log-files/s14_t011_qwen2;0.5b_1,1-test on rm228p/s14_t011.145.4.50601.1426_Response.txt
